                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
 1/09/26 10:00a   22.6   22.7   22.6    77   18.4   0.0   WSW   0.00   6.4     W   22.6   23.4   23.4    ---   846.0  4.831219.2   423     6.06    849     4.4  0.31   5.6   0.000   0.030   26.1    33    8.6   25.3   6.55  .9723     0.36   233    1    100.0   10 
 1/09/26 10:10a   22.9   23.1   22.7    75   18.2   0.0     W   0.00   4.8     W   22.9   23.8   23.8    ---   845.9  1.52 812.8   815    11.68    844     5.4  0.39   6.1   0.000   0.032   26.3    33    8.8   25.5   6.55  .9713     0.00   229    1    100.0   10 
 1/09/26 10:20a   23.3   23.4   23.1    72   17.9   1.6   WNW   0.27   8.0   WNW   23.3   24.2   24.2    ---   845.9  0.76 356.9   784    11.24    861     5.5  0.39   6.3   0.000   0.034   26.5    34    9.4   25.7   6.66  .9702     0.00   232    1    100.0   10 
 1/09/26 10:30a   23.5   23.8   23.3    72   18.2   1.6    NW   0.27   8.0    NW   23.5   24.5   24.5    ---   845.8  0.00   1.0   643     9.22    919     5.4  0.39   6.6   0.000   0.036   26.6    33    9.0   25.7   6.55  .9701     0.00   233    1    100.0   10 
 1/09/26 10:40a   23.8   23.9   23.7    71   18.2   0.0   NNW   0.00  11.3   NNW   23.8   24.8   24.8    ---   845.9  0.00   0.0   695     9.96    991     5.8  0.41   7.0   0.000   0.038   26.6    34    9.5   25.7   6.65  .9698     0.00   230    1    100.0   10 
 1/09/26 10:50a   24.1   24.4   23.9    70   18.3   3.2     N   0.54  11.3   NNW   24.1   25.1   25.1    ---   846.0  0.00   0.0   982    14.08   1028     7.0  0.50   7.6   0.000   0.040   26.7    34    9.6   25.8   6.65  .9694     0.00   231    1    100.0   10 
 1/09/26 11:00a   24.7   24.9   24.4    67   18.1   1.6   WNW   0.27   8.0   WNW   24.7   25.5   25.5    ---   845.9  0.00   0.0   733    10.51    965     6.8  0.49   7.6   0.000   0.044   26.8    34    9.6   25.9   6.64  .9689     0.48   229    1    100.0   10 
 1/09/26 11:10a   24.7   24.8   24.6    71   19.1   0.0   WSW   0.00   6.4   WSW   24.7   25.8   25.8    ---   845.8  2.03 665.0   934    13.39    946     7.4  0.53   8.4   0.000   0.044   26.9    34    9.7   26.0   6.63  .9685     0.00   233    1    100.0   10 
 1/09/26 11:20a   25.1   25.2   24.8    65   18.0   1.6   SSW   0.27   8.0   SSW   25.1   25.8   25.8    ---   845.8  5.08 541.8   838    12.01   1013     7.0  0.50   7.8   0.000   0.047   27.1    34    9.9   26.2   6.62  .9676     0.00   232    1    100.0   10 
 1/09/26 11:30a   25.1   25.3   25.1    68   18.8   1.6    SW   0.27   9.7   SSW   25.1   26.1   26.1    ---   845.8 15.241625.6   620     8.89    803     6.8  0.49   8.6   0.000   0.047   27.1    34    9.9   26.2   6.62  .9676     0.00   230    1    100.0   10 
 1/09/26 11:40a   25.6   25.7   25.3    66   18.7   1.6     W   0.27  11.3    SW   25.6   26.4   26.4    ---   845.7  5.331045.0   589     8.44    796     6.2  0.44   7.3   0.000   0.050   27.2    34    9.9   26.3   6.61  .9673     0.00   235    1    100.0   10 
 1/09/26 11:50a   25.6   25.8   25.4    66   18.8   1.6   WNW   0.27   8.0     W   25.6   26.5   26.5    ---   845.6  0.76  32.5   529     7.58    608     5.7  0.41   6.4   0.000   0.051   27.2    34   10.0   26.3   6.61  .9670     0.00   231    1    100.0   10 
 1/09/26 12:00p   25.6   25.7   25.5    63   18.0   1.6   SSW   0.27  12.9    SW   25.6   26.2   26.2    ---   845.6 12.70 975.4   463     6.64    585     5.3  0.38   6.1   0.000   0.050   27.3    34   10.1   26.4   6.60  .9665     0.43   230    1    100.0   10 
 1/09/26 12:10p   25.8   25.8   25.7    63   18.2   1.6   SSW   0.27  11.3   SSW   25.8   26.5   26.5    ---   845.5 42.161125.5   460     6.59    480     5.2  0.37   5.5   0.000   0.052   27.4    34   10.2   26.6   6.59  .9660     0.00   231    1    100.0   10 
 1/09/26 12:20p   25.8   25.8   25.8    63   18.3   0.0     S   0.00   4.8     S   25.8   26.6   26.6    ---   845.3 50.80 975.4   422     6.05    461     4.9  0.35   5.3   0.000   0.052   27.5    34   10.2   26.7   6.59  .9655     0.00   231    1    100.0   10 
 1/09/26 12:30p   25.9   26.1   25.8    63   18.4   0.0   SSE   0.00   4.8   SSE   25.9   26.7   26.7    ---   845.2 59.18 375.2   435     6.24    578     4.9  0.35   6.2   0.000   0.053   27.5    34   10.2   26.7   6.59  .9654     0.00   233    1    100.0   10 
 1/09/26 12:40p   26.2   26.4   26.1    63   18.6   1.6     S   0.27   8.0     S   26.2   27.1   27.1    ---   845.0 54.10 365.8   578     8.29    770     6.1  0.44   8.2   0.000   0.055   27.6    34   10.3   26.8   6.58  .9648     0.00   230    1    100.0   10 
 1/09/26 12:50p   26.5   26.6   26.4    60   18.1   3.2    SW   0.54   9.7    SW   26.5   27.2   27.2    ---   844.9 48.01 365.8   373     5.35    448     5.4  0.39   7.7   0.000   0.057   27.6    33    9.8   26.7   6.49  .9653     0.00   234    1    100.0   10 
 1/09/26  1:00p   26.5   26.6   26.3    59   17.8   1.6    SW   0.27   9.7    SW   26.5   27.1   27.1    ---   844.8 19.81 365.8   435     6.24   1081     5.6  0.40   8.4   0.000   0.057   27.4    34   10.1   26.6   6.60  .9654     0.33   231    1    100.0   10 
 1/09/26  1:10p   26.3   26.5   26.3    62   18.5   0.0     S   0.00   6.4   SSW   26.3   27.1   27.1    ---   844.6  0.00   1.3   424     6.08   1107     5.0  0.36   8.2   0.000   0.056   27.4    34   10.1   26.6   6.60  .9652     0.00   233    1    100.0   10 
 1/09/26  1:20p   26.7   26.9   26.5    57   17.4   0.0     S   0.00   3.2     S   26.7   27.2   27.2    ---   844.4  0.00   0.0   301     4.31    422     6.1  0.44   8.6   0.000   0.058   27.3    34   10.0   26.4   6.61  .9653     0.00   233    1    100.0   10 
 1/09/26  1:30p   27.2   27.4   26.9    55   17.3   0.0     S   0.00   6.4     S   27.2   27.7   27.7    ---   844.2  0.00   0.0   257     3.68    278     7.2  0.51   8.4   0.000   0.061   27.3    34   10.0   26.4   6.61  .9651     0.00   226    1     99.1   10 
 1/09/26  1:40p   27.8   28.2   27.5    52   17.1   0.0    SW   0.00   3.2   SSW   27.8   28.4   28.4    ---   844.0  7.871625.6   293     4.20    353     7.0  0.50   8.2   0.000   0.066   27.4    33    9.7   26.4   6.50  .9649     0.00   234    1    100.0   10 
 1/09/26  1:50p   28.2   28.3   28.1    51   17.1   1.6    NW   0.27   9.7   WSW   28.2   28.8   28.8    ---   843.8  0.25  25.9   322     4.62    353     4.9  0.35   6.0   0.000   0.068   27.5    33    9.8   26.6   6.49  .9642     0.00   229    1    100.0   10 
 1/09/26  2:00p   27.9   28.1   27.8    52   17.2   1.6   WNW   0.27  11.3   WNW   27.9   28.6   28.6    ---   843.6  0.51   9.9   972    13.93    991     6.7  0.48   8.3   0.000   0.067   27.5    33    9.8   26.6   6.49  .9640     0.28   230    1    100.0   10 
 1/09/26  2:10p   27.8   27.9   27.6    53   17.3   1.6   WSW   0.27  11.3   WSW   27.8   28.4   28.4    ---   843.5  0.00   0.0   552     7.91    940     5.2  0.37   7.0   0.000   0.066   27.4    34   10.2   26.6   6.59  .9636     0.00   233    1    100.0   10 
 1/09/26  2:20p   27.7   27.8   27.6    51   16.6   1.6    NW   0.27  14.5    NW   27.7   28.1   28.1    ---   843.2  0.00   0.0   485     6.95    916     4.7  0.34   6.7   0.000   0.065   27.3    34   10.0   26.4   6.61  .9640     0.00   229    1    100.0   10 
 1/09/26  2:30p   27.7   27.8   27.5    50   16.3   3.2   WSW   0.54  14.5    NW   27.7   27.9   27.9    ---   843.1  0.00   0.0   819    11.74    905     6.1  0.44   6.7   0.000   0.065   27.1    34    9.8   26.2   6.62  .9648     0.00   228    1    100.0   10 
 1/09/26  2:40p   28.0   28.2   27.8    50   16.6   3.2    NW   0.54  14.5   WNW   28.0   28.4   28.4    ---   843.1  0.00   0.0   867    12.43    896     6.1  0.44   6.9   0.000   0.067   27.1    34    9.8   26.2   6.62  .9647     0.00   231    1    100.0   10 
 1/09/26  2:50p   28.3   28.7   28.2    50   16.9   1.6   NNW   0.27  17.7    NW   28.3   29.0   29.0    ---   843.0  0.76 356.9   748    10.72    817     3.5  0.25   4.4   0.000   0.069   27.1    33    9.4   26.1   6.52  .9650     0.00   232    1    100.0   10 
 1/09/26  3:00p   28.6   28.7   28.4    48   16.5   1.6    NW   0.27  17.7    NW   28.6   29.2   29.2    ---   842.8 11.431219.2   338     4.85    649     3.0  0.21   3.4   0.000   0.071   27.0    33    9.4   26.1   6.53  .9650     0.43   235    1    100.0   10 
 1/09/26  3:10p   28.3   28.4   28.3    48   16.3   3.2    NW   0.54  12.9   NNW   28.3   28.8   28.8    ---   842.7 19.811625.6   268     3.84    410     2.6  0.19   3.0   0.000   0.069   26.8    33    9.2   25.9   6.54  .9656     0.00   229    1    100.0   10 
